TMSB4X,6.45462087867542e-30,-0.996810150774949
IFI30,1.06736496283503e-24,-1.43748494377668
ACTB,4.16783111678049e-22,-1.01549499250837
SUB1,1.16116106545061e-21,-1.1726471825964
ARPC1B,6.52750511070961e-21,-0.987805780990499
ARPC2,1.27084983663996e-19,-0.788435939894553
TXNIP,2.10225653031786e-17,1.4511640026537
PFN1,3.15899988515174e-17,-0.851225170974712
ACTG1,4.89497862830643e-17,-1.51374565174322
GAPDH,3.5001528414807e-16,-1.18454861228664
SH3BGRL3,7.40860590985037e-16,-0.65627569063868
ARPC5,8.67159753868305e-16,-1.00239435403092
DHRS9,1.70286788439292e-15,-0.942957753169822
TKT,1.7923441067555e-15,-0.97767778029544
ITGB2,4.06683599579874e-15,-0.832888133697979
MS4A1,4.07925651916435e-15,-0.848679712399621
COTL1,1.21600657563181e-14,-0.753305713143937
HLA-DPA1,1.89258762334983e-14,-0.606233877459926
SERPINB1,3.47316496169746e-14,-0.842928437156798
HLA-DRB,1.24456347021575e-13,-0.507105291295115
CFL1,3.516579340475e-13,-0.694521085566329
GABARAPL2,3.99359933510024e-13,-0.784108340126524
LAPTM5,4.15200045961169e-13,-0.779874861505578
CAPZB,8.19297231152012e-13,-0.74630680284509
ANXA2,2.14061954084971e-12,-0.872563068581636
CD53,3.07772961466638e-12,-0.843127516800082
RAC2,3.60345333358095e-12,-0.592938039062622
EEF1B2,5.94439954772416e-12,0.59457423284807
GDI2,6.49184586444811e-12,-0.82200577314969
CLIC1,6.53686371860140e-12,-0.694241268529898
CRIP1,7.21581939272843e-12,-1.1060825699125
CD52,1.15889993608075e-11,-0.561419492032657
ARPC3,1.96599800472385e-11,-0.533250349759469
ANXA4,2.7815772319138e-11,-0.861019946954635
CD19,2.80523774474851e-11,-0.898118151036287
ATP5MF,4.85942623825089e-11,-0.655185140286066
LRMP,5.24061154861768e-11,-0.897623552299608
NOP10,7.52530087758288e-11,-0.662030432114983
FGR,1.13382976501614e-10,-0.814846983923915
HLA-DRA,1.13536642843426e-10,-0.387120330226885
HLA-DQA,1.71514715840159e-10,-0.534730329560878
PPIA,3.65347141458673e-10,-0.551334020812901
AP2S1,6.95009816250622e-10,-0.641297738055005
PTPN6,7.52813105201518e-10,-0.682000074998171
ATP5F1E,9.00255905065058e-10,-0.454209256499146
H3F3A,1.10187576408315e-09,-0.536666424760883
LIMD2,2.43412193378442e-09,-0.540331508554119
S100A10,2.68318564387567e-09,-1.10752356898274
MYL6,2.83085969479103e-09,-0.572604860396581
CD79A,2.8586197875689e-09,-0.590710856230817
EEF1A1,3.22217453569877e-09,0.369719753749456
PLEK,3.29155686762264e-09,-0.726647347967329
ARPC4,3.49950839106233e-09,-0.658203469120722
COX5A,3.89642706383983e-09,-0.689561074810138
LSP1,4.09490363979937e-09,-0.587408877976036
TLE5,4.8959450429331e-09,-0.692787029764773
FCRL5,5.42830175035611e-09,-0.828918413634824
UCP2,6.48548169327063e-09,-0.715732278004351
PRDX1,6.79851030411257e-09,-0.758588405866002
S100A11,7.31123901974283e-09,-0.936109705015749
VASP,9.01182744156427e-09,-0.581248100510385
CYB561A3,1.05339119339432e-08,-0.725857204033128
SEC61B,1.17208063424386e-08,-0.687381455373582
CIB1,1.80012796191924e-08,-1.09730456609293
HLA-DPB1,2.07814620756212e-08,-0.487036819054889
ADK,2.35532803877863e-08,-0.709364368903354
ARHGDIB,2.78250149471714e-08,-0.596261208351775
PLPP5,3.78336091782977e-08,-0.843900319154384
NEDD8,8.3550529353823e-08,-0.577493409110953
GNG5,1.23493270123465e-07,-0.553278580204012
TLN1,1.5261079812728e-07,-0.663654315184527
FIBP,1.60037812281471e-07,-0.524554198280795
ARPC5L,2.30755906517914e-07,-0.58757907890035
DBNL,2.34837133191058e-07,-0.609409672682956
CXCR4,2.39607224641689e-07,0.944835170713912
AP1S2,2.6064409981613e-07,-0.497936651343202
SCIMP,3.16516383241359e-07,-0.67837622113855
ATP6V0D1,3.5740804568008e-07,-0.511424991291445
